CompanyName,Sector
Dexef,Computer Software
Dexef,Information Technology Services
SSC Egypt,Information Technology Services
SSC Egypt,Outsourcing/Offshoring
SSC Egypt,Recruitment and Staffing
FlairsTech,Computer Software
Skarpt Company ,Construction - Industrial Facilities and Infrastructure
BI-Technologies,Computer Software
Alromansiah,Food Services/Restaurants/Catering
Arabic Localizer,Computer Software
Arabic Localizer,Translation and Localization
Arabic Localizer,E-Learning
Nile Creations,Marketing and Advertising
Nile Creations,Computer Software
Nile Creations,Information Technology Services
Smart Cards application,Computer Software
Sceel.io,Computer Software
Sceel.io,Outsourcing/Offshoring
Sceel.io,Recruitment and Staffing
Bevatel,Computer Software
ICIS,Computer Software
ICIS,Information Technology Services
Edentech,Computer Software
Link Datacenter,Information Technology Services
Zewail City,Higher Education
Zewail City,Non-Profit Organizations
Erpplus5,Business Services - Other
Erpplus5,Computer Software
Erpplus5,Information Technology Services
Al Ahly capital holding - Al Ahly Tamkeen,Financial Services
Wicresoft,Information Technology Services
Algoriza,Computer Software
Arabian Advanced Systems,Computer Software
Arabian Advanced Systems,Information Technology Services
Perfect Presentation,Information Technology Services
TechJump,Computer Software
Dedalus,Information Technology Services
Dedalus,Healthcare and Medical Services
Cashcall,Accounting and Auditing Services
Kandeel Group,Real Estate/Property Management
eT3 - Tomorrow Information Technology,Computer Software
LINK TSP,Computer Software
ITSS,Computer Software
Robiquity,Information Technology Services
Robiquity,Consulting Services
Nahdet Misr Publishing Group,Publishing and Printing
Callvita,Computer Software
New Energy EV,Automotive
Nacita,Automotive
Nacita,Logistics and Supply Chain
Trufla,Computer Software
Trufla,Insurance
Expert Apps,Computer Software
Expert Apps,Information Technology Services
ENOVA Facilities Management,Energy and Utilities
softprograms,Information Technology Services
Our Education,Computer Software
Our Education,Hospitality/Hotels
Our Education,Education
CyberX,Information Technology Services
Easy Cash,Financial Services
waffarha.com,Marketing and Advertising
waffarha.com,Financial Services
GetTechForce.com,Computer Software
GetTechForce.com,Internet/E-commerce
GetTechForce.com,Recruitment and Staffing
Trans World Trading,Real Estate/Property Management
Trans World Trading,Retail
MegaSoft,Information Technology Services
MedVAlley S.A.E,Alternative Medicine
MedVAlley S.A.E,Healthcare and Medical Services
MedVAlley S.A.E,Medical Devices and Supplies
Airpoint,Computer Software
AK IT Consulting,Business Services - Other
AK IT Consulting,Computer Software
International Advanced ,Computer Software
ERP-Bank,Accounting and Auditing Services
ERP-Bank,Information Technology Services
ERP-Bank,Financial Services
Samcrete Engineers & contractors,Construction - Industrial Facilities and Infrastructure
Samcrete Engineers & contractors,Construction - Residential & Commercial/Office
Samcrete Engineers & contractors,Engineering Services
Sutherland,Telecommunications
Simple Touch Software,Computer Hardware
Simple Touch Software,Computer Software
Simple Touch Software,Information Technology Services
Azdan Business Analytics,Management Consulting
Enable,Outsourcing/Offshoring
Ejada ,Computer and Network Security
Ejada ,Computer Software
Ejada ,Information Technology Services
Premier Services and Recruitment,Human Resources
Dimofinf Operations Center,Information Technology Services
Dimofinf Operations Center,Internet/E-commerce
egabi solutions,Computer Software
egabi solutions,Information Technology Services
WSC,Computer Software
Sarmady,Information Technology Services
FinBi Finance & Banking Consultants International,Consulting Services
34ML,Computer Software
Arabia for Information Technology,Computer Software
Arabia for Information Technology,Information Technology Services
Arabia for Information Technology,Internet/E-commerce
Nahr Development,Information Technology Services
SABA,Telecommunications
Elaraby Group,Manufacturing
QARA,Information Technology Services
QARA,Internet/E-commerce
QARA,Wholesale Trade
Nile University,Higher Education
CrossWorkers,Information Technology Services
Yespays,Apparel and Fashion
Yespays,Computer Networking
Yespays,Retail
idaco,Manufacturing
Union Coop,Retail
Galaxy Consulting Solutions (G.C.S),Consulting Services
Bydotpy,Computer Software
Bydotpy,Information Technology Services
Fixed Solutions,Information Technology Services
Fixed Solutions,Internet/E-commerce
Osolutions,Marketing and Advertising
etmana,Marketing and Advertising
etmana,Apparel and Fashion
etmana,Internet/E-commerce
EGID company,Information Technology Services
EGID company,Financial Services
K Line Europe,Medical Devices and Supplies
Tie House,Apparel and Fashion
Tie House,Textile and Clothing
Tie House,Retail
BeConnected,Marketing and Advertising
BeConnected,Information Technology Services
BeConnected,Graphic Design
BSmart,Computer Software
BSmart,Human Resources
Efada Technology,Information Technology Services
Aswaq,Construction - Residential & Commercial/Office
Mubasher,Financial Services
Victory Link,Marketing and Advertising
TREX,Computer Software
TREX,Information Technology Services
TREX,Financial Services
Asset Technology Group,Computer Software
Asset Technology Group,Information Technology Services
Delta Egypt For Lighting ,Other - Not Classified
eVision,Information Technology Services
Al-Meshka,Other - Not Classified
Casita,Education
Casita,Travel and Tourism
Tawzef,Human Resources
Tawzef,Recruitment and Staffing
Tawzef,Consulting Services
Informatique Education,Information Technology Services
Travolic.LLc,Travel and Tourism
YOUXEl Technology,Information Technology Services
RDI,Computer Software
RDI,Research
RDI,E-Learning
Lumin,Information Technology Services
Noases,Computer Software
Noases,Information Technology Services
Jumia,Internet/E-commerce
Jumia,Retail
TEPCO S.A.E. Not Verified,Engineering Services
TEPCO S.A.E. Not Verified,Manufacturing
Engosoft,Engineering Services
Enwan Developments,Real Estate/Property Management
Deal,Computer Software
Deal,Internet/E-commerce
Deal,Real Estate/Property Management
El Sewedy Education - The Knowledge Hub Universities,Education
Shatta,Textile and Clothing
Kode Clubs - Hassan Allam Sports Clubs,Sports
Lychee Fruit Bar,Food and Beverage Production
Octane solutions ,Information Technology Services
Mazar construction ,Construction - Residential & Commercial/Office
Qsource,Information Technology Services
Qsource,Outsourcing/Offshoring
BBI-Consultancy,Computer Software
BBI-Consultancy,Information Technology Services
Rawaj-HCM,Human Resources
Rawaj-HCM,Training and Coaching
Rawaj-HCM,Recruitment and Staffing
2CooM,Management Consulting
Kick Start Interactive,Computer Software
Pure Group ,Business Services - Other
Etisalat Egypt,Telecommunications
Decorative Glass And Arab Union Glass Group,Manufacturing
HITS Solutions,Biotechnology
HITS Solutions,Computer Software
HITS Solutions,Research
Global Brands,Computer Hardware
Global Brands,Computer Networking
Global Brands,Information Technology Services
classera,Information Technology Services
classera,E-Learning
Expleo,Computer Software
Expleo,Information Technology Services
Global Academic Foundation Hosting University of Hertfordshire UH,Higher Education
Viavi Solutions,Information Technology Services
WUZZUF,Computer Software
WUZZUF,Information Technology Services
WUZZUF,Human Resources
Infotech,Business Services - Other
Infotech,Market Research
Infotech,Research
Amasi,Information Technology Services
InnovaDigits,Computer Software
InnovaDigits,Consulting Services
Ultimate Academy Not Verified,Computer Software
qTech. ,Computer Software
IKEN Technology,Information Technology Services
Nature's Rule Egypt LLC ,"Health, Wellness and Fitness"
Nature's Rule Egypt LLC ,Sports
El Alsson British & American International School,Education
Carpet Land,Other - Not Classified
United Group For Engineering And Investment,Construction - Residential & Commercial/Office
United Group For Engineering And Investment,Engineering Services
United Group For Engineering And Investment,Environmental Services
Smart Glass Company,Manufacturing
Xceed Contact Center,Retail
Xceed Contact Center,Telecommunications
9H Capital ,Marketing and Advertising
shaheen communication data systems ,Travel and Tourism
Kasrawy Group,Automotive
Samaya Electronics Egypt LTD,Automotive
Telegeeks LLC,Telecommunications
3S Software,Computer Software
3S Software,Information Technology Services
eBSEG,Computer Software
eBSEG,Information Technology Services
Outservingplus,Outsourcing/Offshoring
El-Sewedy Electrometer,Manufacturing
Charisma Design,Computer Software
Logistica,Logistics and Supply Chain
Logistica,Warehousing
Softec Technologies,Computer Software
Softec Technologies,Information Technology Services
acwme,Internet/E-commerce
Fawry for Banking Technology and Electronic Payments S.A.E,Financial Services
Anzma tech,Business Services - Other
Superior Business Solutions,Information Technology Services
GS - GEO Solutions ,Information Technology Services
LxT,Information Technology Services
Spark Systems,Computer Software
Spark Systems,Information Technology Services
Spark Systems,Internet/E-commerce
Ali Alkhajeh Development ,Real Estate/Property Management
GET Group- Egypt,Computer Software
GET Group- Egypt,Security and Surveillance
Network International -Egypt,Information Technology Services
Network International -Egypt,Financial Services
Network International -Egypt,Internet/E-commerce
Cilantro,Food and Beverage Production
Cilantro,Food Services/Restaurants/Catering
CARITech,Banking
CARITech,Computer Software
CARITech,Information Technology Services
Rashideen Egypt for Trade ,FMCG
SYSTRA,Transportation
INNOVA SOFT,Computer Software
INNOVA SOFT,Engineering Services
Auto Tager,Automotive
Auto Tager,Consumer Services
Bypa-ss,Information Technology Services
Bypa-ss,Healthcare and Medical Services
GLOBAL AUTO,Automotive
GLOBAL AUTO,Manufacturing
Azm development,Computer Software
Azm development,Information Technology Services
LABS,Business Services - Other
Measuresoft oil and gas Services   ,Oil and Gas
Aliaict,Information Technology Services
Dorra Group,Real Estate/Property Management
Statements for Consulting,Financial Services
IST Networks,Other - Not Classified
Egabi FSI,Information Technology Services
Dafa,Marketing and Advertising
Dafa,Computer Software
Dafa,Information Technology Services
Greenway,Import and Export
Kian Alraqmih,Information Technology Services
Ultimate Solutions Egypt,Computer Software
Ultimate Solutions Egypt,Information Technology Services
Alouf Travel,Transportation
Alouf Travel,Travel and Tourism
Al Ahly Momkn for e-payment,Banking
Al Ahly Momkn for e-payment,Information Technology Services
