CompanyName,JobTitle,DatePosted,JobType,Status,Country,City,Region,MinimumExperience,MaximumExperience,MinimumSalary,MaximumSalary,EducationLevel,CareerLevel,JobDescription,JobRequirements,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERP-Bank,Sales Manager,28/10/2023,Full Time,Open,Egypt,Alexandria,Sidi Gaber,5,10,null,null,null,Manager ,"Objectives of this role
Represent the company effectively with comprehensive knowledge of our offerings.
Research consumer needs and identify how our solutions address them.
Train, motivate, and advise a team of sales representatives.
Achieve company objectives by planning thoroughly, setting sales goals, analyzing performance data, and making forecasts.
Develop skills continuously for hiring, training, and leading team members, and ensure that they're using effective sales tactics to meet revenue objectives.
Generate leads and establish and nurture client relationships.
Responsibilities and duties
:
Achieve growth and hit sales targets by successfully managing the sales team.
Assess the strengths and weaknesses of the sales team and manage the sales program accordingly.
Provide on-the-ground support for sales associates as they generate leads and close new deals.
Design and implement a strategic business plan that expands company’s customer base and ensure its strong presence.
Meet with customers to discuss their evolving needs and to assess the quality of our company's relationship with them.
Build and promote strong, long-lasting customer relationships by partnering with them and understanding their needs.
Implement national sales programs by developing field sales action plans.
Ensure targets are delivered through people management, performance review, reward and individual recognition.
Provide daily report of field sales success and to superiors.
Continually assess current business distribution channels, develop and evaluate their performance and manage conflict ensuring alignment with territory plans.
Maintain data relative to partners, accounts and activities and will document customer interactions.","BS/MS degree in business administration or a related field
Five or more years of experience in managing sales in Software field or ERP company.
Excellent communication, interpersonal, and organizational skills
Superb leadership ability
Strong business sense and industry expertise
Excellent mentoring, coaching and people management skills.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jumia Technologies AG,IT Support Agent - Jumia (Full Time),28/10/2023,Full Time,Open,Egypt,Cairo,null,null,null,null,null,null,Not specified ,"IT Support Agent - Jumia (Full Time)
at Jumia Egypt 
About Jumia
:
Jumia is the leading pan-Africa e-commerce platform. Founded in 2012, Jumia’s mission is to improve the quality of everyday life in Africa by leveraging technology to deliver innovative, convenient and affordable online services to consumers, while helping businesses grow as they use our platform to reach and serve consumers. 
Our platforms among others, comprises of:
 Marketplace, where we integrate with our sellers and manage products; Mall, which is our core e-com platform that enables customers to buy products; Logistics service, which enables the shipment and delivery of packages from sellers to consumers, and our external clients; Payment service, which facilitates transactions among participants active on our platform in our markets.
Through our online platforms, consumers can access a wide range of physical and digital goods and services, fashion, electronics, beauty products and also hotel and flight bookings or restaurant delivery. 
With over 5,000 employees in more than 10 countries in Africa, Jumia is led by top talented leaders offering a great mix of local and international talents and is backed by very high-profile shareholders. Jumia is committed to creating a sustainable impact for Africa. Jumia offers unique opportunities in a vibrant and booming environment, creating new jobs and skills, and empowering a new generation. 
 Responsible for Google Workspace platform management; Responsible for Okta platform management; Responsible for Endpoint Management; Follow up on outstanding IT related requests and ensure resolution within established SLA; Manage and monitor internal assets to ensure accurate inventory records; Onboarding and Offboarding procedures; Report RMA’s and Warranties; Manage OS Imaging and Configuration for Linux, MacOS and Windows; Manage biometric accesses; Other common IT Helpdesk duties. 
What you will be doing:
What we are looking for:
 
 Higher education in either IT or equivalent Minimum 1 year work experience in computer technical support functions; Good technical knowledge in the areas of hardware, operating systems (Windows, Mac and Linux) and Networks TCP / IP; Excellent communication skills and taste for contact with the end user; Knowledge on Google Workspace, Okta, Microsoft, and Endpoint platforms; Good interpersonal skills and taste for teamwork; Good analytical ability, organization and planning; Outstanding troubleshooting skills Knowledge of customer service principles and practices Proficiency in English, both written and verbal, clearly and accurately 
We Offer
:
 A unique experience in an entrepreneurial, yet structured environment A unique opportunity of having strong impact in building the African e-commerce sector The opportunity to become part of a highly professional and dynamic team* An unparalleled personal and professional growth as our longer term objective is to train the next generation of leaders",null,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dentsu Inc,Finance Manager,28/10/2023,Full Time,Open,Egypt,Cairo,null,null,null,null,null,null,Not specified ,"The purpose of this role is to manage defined financial reporting, control and analysis processes collaboratively at a global DAN level, supporting the Financial Reporting Manager in driving an appropriate control and compliance environment in line with Group policy and IFRS, and delivering insightful, high quality financial reporting to key stakeholders
Job Title:
Finance Manager
Job Description:
• Delivers to high standards within broadly defined workstreams supporting insightful, high quality financial reporting to DAN management (DAN Board, Executive Committee, brand leaders, regional leadership teams and global function leaders as appropriate) for monthly actual results, quarterly forecasts, the full year budget and ad hoc as required.
• Delivers to high standards within broadly defined workstreams supporting the completion of statutory and management reporting to Dentsu Incto a high quality and on a timely basis, and the preparation of UK statutory reporting.
• Leads defined workstreams to deliver actionable insights to DAN management and influence financial reporting and control policies in line with business strategy
• Collaborates with key partners as appropriate, including global reporting teams and also potentially including Treasury, Tax, M&A, IT, Internal Audit, Legal and HR. Provides technical analysis and advice to key partners, taking responsibility for solving complex problems.
• Monitors compliance with DAN policies on financial reporting, through analysis and review of monthly, quarterly, forecast and budget reporting. Maintaining compliance and appropriate compliance reporting (including JSOX) within local processes.
• Maintains a 'future focus'; plans ahead and provides leadership to the wider team in broadly defined workstreams.
• Continually drives improvements in quality and efficiency of financial reporting processes, through aligning local and global processes to meet the objectives of the Group's reporting requirements.
• Leads team members in collaborative and efficient processes, providing guidance, review and feedback as needed.
• Supports the vision for financial reporting, contributing to team motivation and morale, and supporting the Financial Reporting Manager in training and developing the team in line with DAN values
Job Requirements:
• Years of experience: 10 Years
• English: Fluent
Location:
Cairo
Brand:
Dentsu
Time Type:
Full time
Contract Type:
Permanent ",null,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arabic Localizer,Junior Web Developer (Back-End) - Alexandria,28/10/2023,Full Time,Open,Egypt,Alexandria,San Stefano,0,3,null,null,Bachelor's Degree,Entry Level (Junior Level / Fresh Grad),"Duties:
Designing relational databases and queries.
Design patterns, composition, and object-oriented development.
Working Conditions:
Company Location:
 Alexandria - Tharwat
Days Off:
 Saturday-Sunday","Gender: Any
Age: from 22 to 28
From 0 to 3 years of experience
Living in Alexandria is a must
PHP & MySQL Developer
MVC Pattern experience
Laravel Framework Experience
Very good at HTML, CSS, Javascript, and JQuery
Experience using Bootstrap
Experience using RESTful APIs
Facebook API is recommended
Google API is recommended
Experience designing relational databases and queries.
Experience using Git and GitHub
Very good command of the English language (with a focus on reading and writing)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galaxy Consulting Solutions (G.C.S),SAP FICO - TRM - COPA - FUND Consultant,28/10/2023,Full Time,Open,Egypt,Cairo,Nasr City,5,20,null,null,Bachelor's Degree,Experienced (Non-Manager),"We are looking for a SAP FICO - TRM - COPA - FUND consultant to join our team and help us deliver innovative solutions for our clients. You will be responsible for providing functional and technical expertise in the areas of SAP Financial Accounting (FI), Controlling (CO), Treasury and Risk Management (TRM), Profitability Analysis (COPA) and Funds Management (FUND). You will also be involved in the full cycle of SAP implementation projects, from business analysis and design to configuration, testing, training and support.
responsibilities:
Analyze the business requirements, processes and objectives of the clients and map them to the SAP solutions
Design, customize, configure and test the SAP FI, CO, TRM, COPA and FUND modules according to the best practices and standards
Identify and resolve any gaps, issues and workarounds in the SAP solutions
Provide functional and technical documentation for the SAP solutions
Provide training and knowledge transfer to the end users and other consultants
Collaborate with other SAP consultants and developers on cross-functional and integration topics
Stay updated on the latest trends and developments in the SAP domain","A bachelor’s degree or equivalent in computer science, finance, accounting or related fields
A minimum of 5 years of experience as a SAP FICO consultant with exposure to TRM, COPA and FUND modules
A certification in SAP FI, CO, TRM, COPA or FUND is preferred
A strong knowledge of the SAP FI, CO, TRM, COPA and FUND functionalities, configuration, integration and best practices
A good understanding of the business processes and scenarios related to finance, treasury, risk management, profitability analysis and funds management",,,,,,,,,,,,,,,,,,,,,,,,,,,,
softprograms,Oracle HCM Consultant,28/10/2023,Full Time,Open,Egypt,Cairo,Nasr City,3,7,null,null,Bachelor's Degree,Experienced (Non-Manager),"Overview:
SoftPrograms Technology is a customer-centric Incorporation, with a main focus on providing exceptional quality IT solutions & Services to enterprises.
We are seeking a highly organized and detail-oriented Oracle HCM Consultant to join our team. The Oracle HCM Consultant will be responsible for designing, implementing, and optimizing Oracle HCM solutions tailored to meet client requirements. This position requires strong technical expertise, human resource acumen, and the ability to work closely with clients to achieve their consolidation goals.
 
Responsibilities:
Planning
: The consultant plan and recommend solutions that enhance current HCM systems to align with corporate goals.
Process Reengineering
: The consultant promotes business process reengineering and best practices in Oracle HCM systems.
Systems Architecture
: The consultant serves as a senior analyst, advocating for Oracle HCM system architecture.
Implementation
: The consultant responsible of all phases of Oracle HCM system implementation, from requirements analysis to system deployment.
User Support
: They offer support to both onsite and remote end users, addressing their Oracle HCM module-related queries and issues, and
Resolve Problems: 
Resolve technical and operational problems in a timely fashion.
Business Process Improvement
: The consultant assists in mapping and improving business processes for the implementation of Oracle HCM Management, including report development.
Team Mentorship
: They coach and mentor other team members, helping them resolve design and implementation challenges while participating in problem management.
Multi-Project Support
: They support multiple projects and tasks within the Oracle HCM systems and related applications.
Commitment to Standards
: They establish and adhere to project standards to ensure high-quality deliverables.
Documentation
: They develop and document expertise and capabilities within Oracle HCM systems.
Miscellaneous Tasks
: The consultant undertakes various assigned tasks to support team and organizational goals.","Bachelor’s degree in Business Administration or equivalent.
Preferred degree in Computer or Technical Science or a related field
A minimum of 3-5 years of experience in Oracle HCM Implementations, with experience in designing, developing, testing, implementing, supporting and providing integrated solutions in various industries.
Willing to be part of Core IT Team on Permanent Basis to implement & support Super users & End Users, third party software integrations.
Should have completed at least 
1 full cycle of implementation of Oracle HCM Modules
, in multi-org, multi operating unit and multicurrency environment.
Well understanding for public and private sector HCM processes and procedures
Experience with the following: 
HR Core, Payroll , HRSS, OPM , OLM , OTL , Recruitment
.
Knowledge of laws, ordinances, codes, and regulations related to HCM processing.
Knowledge of user support principles and practices: Very Good
Analytical and problem-solving skills: Very Good
English Language: Very Good",,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.C. Johnson & Son Inc,Senior Analyst - Accounting,28/10/2023,Full Time,Open,Egypt,Cairo,null,null,null,null,null,null,Not specified ,"The purpose of the role is to be accountable for providing financial analysis, performing the month end close, to resolve internal customer queries on behalf of SCJ. Provide finance business partnering to the local country and liaising across multiple functions. Balance sheet reconciliations are a key competency as is SOAR compliance. This role is to actively support the Associate Manager in the efficient functioning and implementation of the tasks of the R2R department. Also taking the lead responsibility for improvement initiatives.
Essential Duties and Responsibilities
Handling CH6 business (MENAPT and French West Africa)
Perform periodic G/L reconciliations in line with company policies
Help to establish/update controls as needed for new processes or changes to current processes in accordance with global policies
Month end closing accounting activities.
Coordination internal and external audits as well as SOAR testing
Required Skills / Experience / Competencies
Strong accounting and financial skills.
Knowledge and experience of SAP, Business Warehouse, BPC or similar ERP system preferred
Experience of monthly closing, balance sheet, month-end reporting, accruals and reconciliations.
Strong internal controls capabilities.
Minimum 3 years of experience.
What's in it for you? 
Based in Egypt, we can offer you a competitive salary, profit share and benefits.
About us: 
SC Johnson is a fifth-generation family company built on a spirit of adventure and winning the right way. We have been leading with purpose for over 130 years, building top brands such as Raid®, Glade®, Kiwi®, OFF!®, Windex®, Ziploc® and more, in virtually every country. Through these household names, we are making a positive difference to the world around us. But we only succeed with the combined vitality and strength of our 13,000 people who we truly value and support in their pursuit of individual and shared goals. ",null,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merck Sharp & Dohme Corp,Senior Financial Analyst,28/10/2023,Full Time,Open,Egypt,Cairo,null,null,null,null,null,null,Not specified ,"Job Description
Our Finance team brings together our financial perspectives into our overall strategic and tactical decision making. We use state-of-the-art techniques for financial analysis, planning, accounting, reporting and performance evaluation. This allows the organization to continue advancing medical innovation and improve lives.  
The FP&A should be responsible for the reporting and consolidation of financial planning activities and providing insights for the lead team and managing director.
Responsibilities:
Work closely with the FP&A manager in leading the forecasting cycles and building the budget
Data collection (stock on customers, net prices, demand forecast in units, actual sales, finance adjustment) & planning template update
Comparison vs. prior version or PY with explanation
Submission supplementary files update and completion – quarterly
Monthly monitoring of the sales and expenses and preparing the closing deck
Managing adhoc financial reports requested by different stack-holders
Analyzing the financial data to accurately create financial reports requested and track financial results:
P&L (Sales, PGM, PCOE)
Gross to Net reporting
IQV analysis
Promo FY (act + plan) details
Head Count reporting
Risk & Opportunities register.
Support the OTC team with the commercial month end closing and the gross to net analysis
Maintaining controls procedures to ensure integrity and compliance with the accounting and financial business policies and procedures
Qualifications:
At least 3 years of experience in finance in international company – Pharma background is a plus
University degree in Finance or Economics
Excellent command of Arabic and English languages
Strong Accounting background is a plus
Excellent interpersonal, communication and presentation skills
Data analysis and processing skills
Good team player
Problem solving skills
Proficiency in excel an MS office package
We are proud to be a company that embraces the value of bringing diverse, talented, and committed people together. The fastest way to breakthrough innovation is when diverse ideas come together in an inclusive environment. We encourage our colleagues to respectfully challenge one another’s thinking and approach problems collectively. We are an equal opportunity employer, committed to fostering an inclusive and diverse workplace.
Current Employees apply HERE
Current Contingent Workers apply HERE
Search Firm Representatives Please Read Carefully 
Merck & Co., Inc., Rahway, NJ, USA, also known as Merck Sharp & Dohme LLC, Rahway, NJ, USA, does not accept unsolicited assistance from search firms for employment opportunities. All CVs / resumes submitted by search firms to any employee at our company without a valid written search agreement in place for this position will be deemed the sole property of our company.  No fee will be paid in the event a candidate is hired by our company as a result of an agency referral where no pre-existing agreement is in place. Where agency agreements are in place, introductions are position specific. Please, no phone calls or emails. 
Employee Status: 
Regular
Relocation:
No relocation
VISA Sponsorship:
Travel Requirements:
10%
Flexible Work Arrangements:
Work Week
Shift:
Valid Driving License:
Hazardous Material(s):",null,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giza Arabia Systems,Head of Presales - EG - EBS,28/10/2023,Full Time,Open,Egypt,Cairo,null,null,null,null,null,null,Not specified ,"Head of Presales - EG - EBS
Strong communication , interpersonal and presentation skills Excellent business sense and market vision. Strong negotiation skills Excellent leadership and people management skills. Excellent command of English• B.Sc. of Engineering, preferably Communication and Electronics Engineering 
• 15+ years of experience in a relevant industry, minimum 5 years of which in a similar position. 
• MBA is a plus 
• Strong knowledge of the sectors the company operates in, especially Telecom, Utilities, and Enterprise. 
• Proficient in Telecom OSS/BSS, 5G, Cloud Solutions, Digital Transformation, Revenue Management, and ERP solutions.
Job Location Cairo, Egypt Job Role Sales",null,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlairsTech,Technical Trainer,27/10/2023,Full Time,Open,Egypt,Cairo,null,3,4,null,null,null,Experienced (Non-Manager),"Job Description:
We are seeking a skilled and enthusiastic Technical Training Specialist to join our team. As a Technical Training Specialist, you will be responsible for designing, developing, and delivering high-quality technical training programs to enable our employees and clients to enhance their skills and knowledge in various technical domains. You will collaborate closely with subject matter experts, instructional designers, and stakeholders to create effective training materials and deliver engaging training sessions.
 
Responsibilities:
Training Program Development: Collaborate with subject matter experts to design and develop comprehensive technical training programs tailored to the needs of different audiences.
Training Material Creation: Create engaging and interactive training materials, including presentations, guides, hands-on exercises, and assessments, to facilitate effective learning experiences.
Training Delivery: Conduct training sessions, workshops, and webinars both in-person and virtually, ensuring a dynamic and engaging learning environment.
Knowledge Transfer: Effectively communicate technical concepts and information to diverse audiences, fostering understanding and practical application of the training content.
Training Evaluation: Assess the effectiveness of training programs through participant feedback, evaluations, and performance metrics, and make improvements as needed.
Training Documentation: Develop training documentation, including user guides, reference materials, and job aids, to support ongoing learning and development.
Technology Adoption: Assist in driving the adoption of new technologies and tools by providing training and support to internal teams and clients.
Collaboration and Stakeholder Management: Collaborate with cross-functional teams, subject matter experts, and stakeholders to ensure training programs align with business objectives and requirements.
Stay Updated: Continuously enhance your own technical knowledge and instructional design skills, staying informed about industry trends and advancements.
 
 ","Technical Expertise: Strong understanding and practical experience in one or more technical domains, such as software development, data analytics, cloud computing, cybersecurity, or networking.
Training Experience: Proven experience in designing and delivering technical training programs, both in-person and virtually, using various instructional techniques and tools.
Communication Skills: Excellent verbal and written communication skills, with the ability to explain complex technical concepts in a clear and accessible manner.
Instructional Design Knowledge: Familiarity with instructional design principles and adult learning methodologies to create effective training materials and experiences.
Adaptability: Ability to adapt training approaches and materials to suit different learning styles, skill levels, and audience needs.
Collaboration: Strong teamwork and collaboration skills to work effectively with subject matter experts, trainers, and stakeholders.
Problem-Solving: Analytical thinking and problem-solving skills to address training challenges and provide effective solutions.
Continuous Learning: Demonstrated commitment to continuous learning and staying updated on emerging technologies and industry trends.
Bachelor's Degree: A degree in a relevant field or equivalent work experience is preferred.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
