CompanyName,JobTitle,DatePosted,JobCategory
ERP-Bank,Sales Manager,2023-10-28,Customer Service/Support
ERP-Bank,Sales Manager,2023-10-28,IT/Software Development
ERP-Bank,Sales Manager,2023-10-28,Sales/Retail
Jumia Technologies AG,IT Support Agent - Jumia (Full Time),2023-10-28,Customer Service/Support
Jumia Technologies AG,IT Support Agent - Jumia (Full Time),2023-10-28,IT/Software Development
Jumia Technologies AG,IT Support Agent - Jumia (Full Time),2023-10-28,Engineering - Telecom/Technology
Dentsu Inc,Finance Manager,2023-10-28,Accounting/Finance
Dentsu Inc,Finance Manager,2023-10-28,Banking
Dentsu Inc,Finance Manager,2023-10-28,Operations/Management
Arabic Localizer,Junior Web Developer (Back-End) - Alexandria,2023-10-28,IT/Software Development
Arabic Localizer,Junior Web Developer (Back-End) - Alexandria,2023-10-28,Engineering - Telecom/Technology
Galaxy Consulting Solutions (G.C.S),SAP FICO - TRM - COPA - FUND Consultant,2023-10-28,Accounting/Finance
Galaxy Consulting Solutions (G.C.S),SAP FICO - TRM - COPA - FUND Consultant,2023-10-28,IT/Software Development
softprograms,Oracle HCM Consultant,2023-10-28,Human Resources
softprograms,Oracle HCM Consultant,2023-10-28,IT/Software Development
S.C. Johnson & Son Inc,Senior Analyst - Accounting,2023-10-28,IT/Software Development
S.C. Johnson & Son Inc,Senior Analyst - Accounting,2023-10-28,Analyst/Research
S.C. Johnson & Son Inc,Senior Analyst - Accounting,2023-10-28,Engineering - Telecom/Technology
Merck Sharp & Dohme Corp,Senior Financial Analyst,2023-10-28,Accounting/Finance
Merck Sharp & Dohme Corp,Senior Financial Analyst,2023-10-28,IT/Software Development
Merck Sharp & Dohme Corp,Senior Financial Analyst,2023-10-28,Analyst/Research
Giza Arabia Systems,Head of Presales - EG - EBS,2023-10-28,IT/Software Development
Giza Arabia Systems,Head of Presales - EG - EBS,2023-10-28,Sales/Retail
Giza Arabia Systems,Head of Presales - EG - EBS,2023-10-28,Engineering - Mechanical/Electrical
FlairsTech,Technical Trainer,2023-10-27,IT/Software Development
IBM WTC Egypt,Application Developer-Java & Web Technologies,2023-10-27,Creative/Design/Art
IBM WTC Egypt,Application Developer-Java & Web Technologies,2023-10-27,IT/Software Development
IBM WTC Egypt,Application Developer-Java & Web Technologies,2023-10-27,Engineering - Telecom/Technology
Giza Arabia Systems,Head of Technical Delivery- Government Business Solutions,2023-10-27,IT/Software Development
Giza Arabia Systems,Head of Technical Delivery- Government Business Solutions,2023-10-27,Sales/Retail
Giza Arabia Systems,Head of Technical Delivery- Government Business Solutions,2023-10-27,Engineering - Telecom/Technology
FlairsTech,Senior Python Developer,2023-10-27,IT/Software Development
Sutherland,English Customer Support - PREMIUM,2023-10-27,Customer Service/Support
Sutherland,English Customer Support - PREMIUM,2023-10-27,IT/Software Development
Sutherland,English Customer Support - PREMIUM,2023-10-27,Sales/Retail
Sceel.io,Next JS developer,2023-10-27,IT/Software Development
Sceel.io,Next JS developer,2023-10-27,Engineering - Telecom/Technology
BayanTech,En Ar Reviewer,2023-10-26,Accounting/Finance
BayanTech,En Ar Reviewer,2023-10-26,IT/Software Development
BayanTech,En Ar Reviewer,2023-10-26,Marketing/PR/Advertising
BayanTech,Localization Project Manager,2023-10-26,Engineering - Construction/Civil/Architecture
BayanTech,Localization Project Manager,2023-10-26,IT/Software Development
BayanTech,Localization Project Manager,2023-10-26,Project/Program Management
BayanTech,Offshore Team Leader (Call Center - Dispatching),2023-10-26,IT/Software Development
BayanTech,Offshore Team Leader (Call Center - Dispatching),2023-10-26,Sales/Retail
BayanTech,Offshore Team Leader (Call Center - Dispatching),2023-10-26,Engineering - Telecom/Technology
BayanTech,Quality Assurance Executive (data analysis- internal auditing),2023-10-26,IT/Software Development
BayanTech,Quality Assurance Executive (data analysis- internal auditing),2023-10-26,Quality
BayanTech,Quality Assurance Executive (data analysis- internal auditing),2023-10-26,Engineering - Telecom/Technology
BayanTech,Project Manager (Hybrid),2023-10-26,Engineering - Construction/Civil/Architecture
BayanTech,Project Manager (Hybrid),2023-10-26,IT/Software Development
BayanTech,Project Manager (Hybrid),2023-10-26,Project/Program Management
Nile Creations,UI/UX Web Designer,2023-10-26,Creative/Design/Art
Nile Creations,UI/UX Web Designer,2023-10-26,IT/Software Development
Nile Creations,UI/UX Web Designer,2023-10-26,Engineering - Telecom/Technology
34ML,iOS Developer,2023-10-26,IT/Software Development
34ML,iOS Developer,2023-10-26,Engineering - Telecom/Technology
34ML,VueJS Frontend Developer,2023-10-26,Creative/Design/Art
34ML,VueJS Frontend Developer,2023-10-26,IT/Software Development
34ML,VueJS Frontend Developer,2023-10-26,Engineering - Telecom/Technology
Arabia for Information Technology,Software Quality Control Specialist,2023-10-26,IT/Software Development
Arabia for Information Technology,Software Quality Control Specialist,2023-10-26,Quality
Arabia for Information Technology,Software Quality Control Specialist,2023-10-26,Engineering - Telecom/Technology
QARA,Product Owner,2023-10-26,IT/Software Development
QARA,Product Owner,2023-10-26,Project/Program Management
idaco,Hardware Design Engineer,2023-10-26,Creative/Design/Art
idaco,Hardware Design Engineer,2023-10-26,IT/Software Development
idaco,flutter developer,2023-10-26,IT/Software Development
Bevatel,Product Specialist (Tourism Field),2023-10-26,Project/Program Management
Bevatel,Product Specialist (Tourism Field),2023-10-26,Tourism/Travel
WSC,Business Analyst,2023-10-26,IT/Software Development
Elaraby Group,Senior Civil Engineer (Menoufia),2023-10-26,Engineering - Construction/Civil/Architecture
Elaraby Group,Senior Civil Engineer (Katameya),2023-10-26,Engineering - Construction/Civil/Architecture
Asset Technology Group,Software Project Manager,2023-10-26,IT/Software Development
Asset Technology Group,Software Project Manager,2023-10-26,Project/Program Management
Asset Technology Group,Software Project Manager,2023-10-26,Engineering - Telecom/Technology
Al Ahly capital holding - Al Ahly Tamkeen,Senior Quality Assurance Testers,2023-10-26,IT/Software Development
Al Ahly capital holding - Al Ahly Tamkeen,Senior Quality Assurance Testers,2023-10-26,Quality
Amazon MENA,"Vendor Consultant, Spanish",2023-10-26,IT/Software Development
Amazon MENA,"Vendor Consultant, Spanish",2023-10-26,Engineering - Telecom/Technology
Amazon MENA,"Vendor Consultant, Spanish",2023-10-26,Engineering - Mechanical/Electrical
WSC,Drupal Developer,2023-10-26,IT/Software Development
BayanTech,System Admin,2023-10-26,Installation/Maintenance/Repair
BayanTech,System Admin,2023-10-26,IT/Software Development
BayanTech,System Admin,2023-10-26,Engineering - Telecom/Technology
WSC,Backend Developer .Net,2023-10-26,IT/Software Development
YOUXEl Technology,Senior Android Developer,2023-10-26,IT/Software Development
TechJump,Technical Support Engineer - German Speaker,2023-10-26,Installation/Maintenance/Repair
TechJump,Technical Support Engineer - German Speaker,2023-10-26,IT/Software Development
TechJump,Technical Support Engineer - German Speaker,2023-10-26,Engineering - Telecom/Technology
Al Ahly capital holding - Al Ahly Tamkeen,Quality Assurance Tester,2023-10-26,IT/Software Development
Al Ahly capital holding - Al Ahly Tamkeen,Quality Assurance Tester,2023-10-26,Quality
ITSS,Senior Odoo Developer,2023-10-26,IT/Software Development
Dimofinf Operations Center,Technical Recruiter,2023-10-26,Administration
