CompanyName,JobTitle,DatePosted,Skills
ERP-Bank,Sales Manager,2023-10-28,ERP
ERP-Bank,Sales Manager,2023-10-28,Software
ERP-Bank,Sales Manager,2023-10-28,Business Administration
ERP-Bank,Sales Manager,2023-10-28,Odoo ERP
ERP-Bank,Sales Manager,2023-10-28,ERP Sales
ERP-Bank,Sales Manager,2023-10-28,Communication
Jumia Technologies AG,IT Support Agent - Jumia (Full Time),2023-10-28,Information Technology (IT)
Jumia Technologies AG,IT Support Agent - Jumia (Full Time),2023-10-28,Technical Support
Jumia Technologies AG,IT Support Agent - Jumia (Full Time),2023-10-28,Computer Science
Jumia Technologies AG,IT Support Agent - Jumia (Full Time),2023-10-28,Customer Service
Jumia Technologies AG,IT Support Agent - Jumia (Full Time),2023-10-28,Customer Support
Jumia Technologies AG,IT Support Agent - Jumia (Full Time),2023-10-28,Customer Care
Jumia Technologies AG,IT Support Agent - Jumia (Full Time),2023-10-28,Installation
Jumia Technologies AG,IT Support Agent - Jumia (Full Time),2023-10-28,CCNA
Jumia Technologies AG,IT Support Agent - Jumia (Full Time),2023-10-28,Call Center
Jumia Technologies AG,IT Support Agent - Jumia (Full Time),2023-10-28,Troubleshooting
Jumia Technologies AG,IT Support Agent - Jumia (Full Time),2023-10-28,Engineering
Jumia Technologies AG,IT Support Agent - Jumia (Full Time),2023-10-28,Maintenance
Jumia Technologies AG,IT Support Agent - Jumia (Full Time),2023-10-28,Computer Engineering
Jumia Technologies AG,IT Support Agent - Jumia (Full Time),2023-10-28,Software
Jumia Technologies AG,IT Support Agent - Jumia (Full Time),2023-10-28,English
Jumia Technologies AG,IT Support Agent - Jumia (Full Time),2023-10-28,Software Development
Jumia Technologies AG,IT Support Agent - Jumia (Full Time),2023-10-28,Software Engineering
Jumia Technologies AG,IT Support Agent - Jumia (Full Time),2023-10-28,Help Desk
Jumia Technologies AG,IT Support Agent - Jumia (Full Time),2023-10-28,Networks
Jumia Technologies AG,IT Support Agent - Jumia (Full Time),2023-10-28,MCSA
Dentsu Inc,Finance Manager,2023-10-28,Finance
Dentsu Inc,Finance Manager,2023-10-28,Accounting
Dentsu Inc,Finance Manager,2023-10-28,Financial Management
Dentsu Inc,Finance Manager,2023-10-28,Financial Analysis
Dentsu Inc,Finance Manager,2023-10-28,Microsoft Office
Dentsu Inc,Finance Manager,2023-10-28,Commerce
Dentsu Inc,Finance Manager,2023-10-28,Microsoft Excel
Dentsu Inc,Finance Manager,2023-10-28,Computer Skills
Dentsu Inc,Finance Manager,2023-10-28,ERP
Dentsu Inc,Finance Manager,2023-10-28,English
Dentsu Inc,Finance Manager,2023-10-28,Communication Skills
Dentsu Inc,Finance Manager,2023-10-28,Management
Dentsu Inc,Finance Manager,2023-10-28,Auditing
Dentsu Inc,Finance Manager,2023-10-28,CPA
Dentsu Inc,Finance Manager,2023-10-28,CMA
Dentsu Inc,Finance Manager,2023-10-28,Business Administration
Dentsu Inc,Finance Manager,2023-10-28,SAP
Dentsu Inc,Finance Manager,2023-10-28,Banking
Dentsu Inc,Finance Manager,2023-10-28,Financial
